update_id,ticket_id,updated_at,update_type,old_status,new_status,update_notes
42,14,2025-02-15 13:23:27.779795,Created,,Open,Ticket created by employee
43,14,2025-02-15 13:33:03.779795,First Response,Open,In Progress,Support agent responded to ticket
44,14,2025-02-15 15:46:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
45,15,2024-08-01 13:32:27.779795,Created,,Open,Ticket created by employee
46,15,2024-08-01 14:49:15.779795,First Response,Open,In Progress,Support agent responded to ticket
47,16,2025-02-16 20:22:27.779795,Created,,Open,Ticket created by employee
48,16,2025-02-16 22:52:27.779795,First Response,Open,In Progress,Support agent responded to ticket
49,16,2025-02-17 17:47:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
50,17,2025-08-11 18:56:27.779795,Created,,Open,Ticket created by employee
51,17,2025-08-12 03:57:39.779795,First Response,Open,In Progress,Support agent responded to ticket
52,17,2025-08-12 18:12:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
53,18,2026-04-09 00:54:27.779795,Created,,Open,Ticket created by employee
54,18,2026-04-09 07:26:15.779795,First Response,Open,In Progress,Support agent responded to ticket
55,18,2026-04-14 20:35:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
56,19,2025-04-14 13:24:27.779795,Created,,Open,Ticket created by employee
57,19,2025-04-14 14:46:03.779795,First Response,Open,In Progress,Support agent responded to ticket
58,20,2025-07-08 09:10:27.779795,Created,,Open,Ticket created by employee
59,20,2025-07-08 12:13:27.779795,First Response,Open,In Progress,Support agent responded to ticket
60,21,2026-02-20 07:06:27.779795,Created,,Open,Ticket created by employee
61,21,2026-02-20 14:45:27.779795,First Response,Open,In Progress,Support agent responded to ticket
62,21,2026-02-20 14:56:24.259262,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
63,21,2026-02-20 17:20:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
64,22,2025-12-07 05:23:27.779795,Created,,Open,Ticket created by employee
65,22,2025-12-07 07:39:03.779795,First Response,Open,In Progress,Support agent responded to ticket
66,22,2025-12-16 02:33:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
67,23,2025-12-05 20:42:27.779795,Created,,Open,Ticket created by employee
68,23,2025-12-05 20:49:03.779795,First Response,Open,In Progress,Support agent responded to ticket
69,23,2025-12-06 05:08:21.211367,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
70,23,2025-12-06 16:49:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
71,24,2026-03-27 08:13:27.779795,Created,,Open,Ticket created by employee
72,24,2026-03-27 17:26:39.779795,First Response,Open,In Progress,Support agent responded to ticket
73,24,2026-03-28 19:41:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
74,25,2025-07-14 17:38:27.779795,Created,,Open,Ticket created by employee
75,25,2025-07-14 20:02:27.779795,First Response,Open,In Progress,Support agent responded to ticket
76,25,2025-07-17 11:36:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
77,25,2025-07-17 21:02:57.842168,Closed,Resolved,Closed,Ticket closed after user confirmation
78,26,2025-11-10 06:18:27.779795,Created,,Open,Ticket created by employee
79,26,2025-11-10 08:56:15.779795,First Response,Open,In Progress,Support agent responded to ticket
80,26,2025-11-12 23:13:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
81,26,2025-11-13 04:05:43.687503,Closed,Resolved,Closed,Ticket closed after user confirmation
82,27,2025-06-14 02:58:27.779795,Created,,Open,Ticket created by employee
83,27,2025-06-14 19:56:03.779795,First Response,Open,In Progress,Support agent responded to ticket
84,27,2025-06-15 01:21:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
85,27,2025-06-16 12:09:01.820471,Closed,Resolved,Closed,Ticket closed after user confirmation
86,28,2024-08-31 06:28:27.779795,Created,,Open,Ticket created by employee
87,28,2024-08-31 08:30:15.779795,First Response,Open,In Progress,Support agent responded to ticket
88,28,2024-09-02 08:12:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
89,29,2024-11-15 18:57:27.779795,Created,,Open,Ticket created by employee
90,29,2024-11-15 20:50:51.779795,First Response,Open,In Progress,Support agent responded to ticket
91,29,2024-11-16 02:43:57.119991,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
92,30,2026-04-02 17:15:27.779795,Created,,Open,Ticket created by employee
93,30,2026-04-03 00:57:27.779795,First Response,Open,In Progress,Support agent responded to ticket
94,30,2026-04-04 06:19:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
95,30,2026-04-05 18:29:11.578936,Closed,Resolved,Closed,Ticket closed after user confirmation
96,31,2025-06-18 07:24:27.779795,Created,,Open,Ticket created by employee
97,31,2025-06-18 09:43:03.779795,First Response,Open,In Progress,Support agent responded to ticket
98,31,2025-06-19 01:52:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
99,32,2026-01-31 15:49:27.779795,Created,,Open,Ticket created by employee
100,32,2026-01-31 21:16:27.779795,First Response,Open,In Progress,Support agent responded to ticket
101,32,2026-02-02 17:08:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
102,32,2026-02-03 20:46:00.790723,Closed,Resolved,Closed,Ticket closed after user confirmation
103,33,2026-02-22 20:15:27.779795,Created,,Open,Ticket created by employee
104,33,2026-02-22 20:37:39.779795,First Response,Open,In Progress,Support agent responded to ticket
105,33,2026-02-23 06:10:37.212185,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
106,33,2026-02-22 21:16:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
107,34,2025-11-24 03:51:27.779795,Created,,Open,Ticket created by employee
108,34,2025-11-24 05:47:15.779795,First Response,Open,In Progress,Support agent responded to ticket
109,34,2025-11-24 07:14:05.561310,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
110,34,2025-11-24 22:25:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
111,35,2026-04-13 16:01:27.779795,Created,,Open,Ticket created by employee
112,35,2026-04-13 19:42:51.779795,First Response,Open,In Progress,Support agent responded to ticket
113,36,2026-04-09 16:01:27.779795,Created,,Open,Ticket created by employee
114,36,2026-04-09 23:23:39.779795,First Response,Open,In Progress,Support agent responded to ticket
115,36,2026-04-11 02:39:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
116,37,2025-09-08 14:37:27.779795,Created,,Open,Ticket created by employee
117,37,2025-09-08 15:44:39.779795,First Response,Open,In Progress,Support agent responded to ticket
118,37,2025-09-08 18:17:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
119,38,2026-05-04 09:44:27.779795,Created,,Open,Ticket created by employee
120,38,2026-05-04 15:25:15.779795,First Response,Open,In Progress,Support agent responded to ticket
121,38,2026-05-04 19:24:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
122,39,2025-01-17 03:24:27.779795,Created,,Open,Ticket created by employee
123,39,2025-01-17 12:21:27.779795,First Response,Open,In Progress,Support agent responded to ticket
124,40,2024-08-22 13:31:27.779795,Created,,Open,Ticket created by employee
125,40,2024-08-22 16:51:51.779795,First Response,Open,In Progress,Support agent responded to ticket
126,40,2024-08-22 20:20:45.858388,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
127,40,2024-08-23 04:58:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
128,41,2025-01-14 03:07:27.779795,Created,,Open,Ticket created by employee
129,41,2025-01-14 04:05:39.779795,First Response,Open,In Progress,Support agent responded to ticket
130,41,2025-01-17 22:06:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
131,42,2025-01-19 10:38:27.779795,Created,,Open,Ticket created by employee
132,42,2025-01-19 13:46:15.779795,First Response,Open,In Progress,Support agent responded to ticket
133,42,2025-01-19 20:33:58.200272,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
134,42,2025-01-19 16:03:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
135,43,2026-02-08 18:04:27.779795,Created,,Open,Ticket created by employee
136,43,2026-02-09 07:11:39.779795,First Response,Open,In Progress,Support agent responded to ticket
137,43,2026-02-11 01:08:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
138,43,2026-02-12 12:02:53.283033,Closed,Resolved,Closed,Ticket closed after user confirmation
139,44,2024-08-11 02:56:27.779795,Created,,Open,Ticket created by employee
140,44,2024-08-11 03:54:03.779795,First Response,Open,In Progress,Support agent responded to ticket
141,44,2024-08-11 04:36:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
142,45,2026-03-22 13:14:27.779795,Created,,Open,Ticket created by employee
143,45,2026-03-22 19:37:51.779795,First Response,Open,In Progress,Support agent responded to ticket
144,45,2026-03-23 01:07:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
145,45,2026-03-23 13:19:18.737892,Closed,Resolved,Closed,Ticket closed after user confirmation
146,46,2025-02-06 03:27:27.779795,Created,,Open,Ticket created by employee
147,46,2025-02-06 05:43:39.779795,First Response,Open,In Progress,Support agent responded to ticket
148,46,2025-02-06 08:19:13.919708,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
149,46,2025-02-06 17:55:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
150,47,2024-09-23 05:40:27.779795,Created,,Open,Ticket created by employee
151,47,2024-09-23 10:20:39.779795,First Response,Open,In Progress,Support agent responded to ticket
152,47,2024-09-23 12:28:21.960324,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
153,48,2024-12-23 21:00:27.779795,Created,,Open,Ticket created by employee
154,48,2024-12-24 00:29:51.779795,First Response,Open,In Progress,Support agent responded to ticket
155,48,2024-12-24 04:31:03.746091,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
156,48,2024-12-26 05:04:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
157,49,2026-04-12 12:53:27.779795,Created,,Open,Ticket created by employee
158,49,2026-04-13 01:06:03.779795,First Response,Open,In Progress,Support agent responded to ticket
159,49,2026-04-13 09:40:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
160,50,2024-07-30 21:05:27.779795,Created,,Open,Ticket created by employee
161,50,2024-07-30 21:28:15.779795,First Response,Open,In Progress,Support agent responded to ticket
162,50,2024-07-31 04:23:44.246586,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
163,50,2024-07-31 00:52:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
164,51,2024-07-12 20:28:27.779795,Created,,Open,Ticket created by employee
165,51,2024-07-12 20:49:27.779795,First Response,Open,In Progress,Support agent responded to ticket
166,51,2024-07-13 06:30:20.792706,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
167,51,2024-07-12 21:14:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
168,51,2024-07-14 11:41:30.972853,Closed,Resolved,Closed,Ticket closed after user confirmation
169,52,2025-03-07 14:01:27.779795,Created,,Open,Ticket created by employee
170,52,2025-03-07 15:18:15.779795,First Response,Open,In Progress,Support agent responded to ticket
171,52,2025-03-07 18:25:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
172,53,2025-04-20 19:18:27.779795,Created,,Open,Ticket created by employee
173,53,2025-04-21 04:08:51.779795,First Response,Open,In Progress,Support agent responded to ticket
174,53,2025-04-21 17:12:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
175,54,2024-06-09 07:16:27.779795,Created,,Open,Ticket created by employee
176,54,2024-06-09 11:08:39.779795,First Response,Open,In Progress,Support agent responded to ticket
177,54,2024-06-10 06:13:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
178,55,2026-04-27 03:23:27.779795,Created,,Open,Ticket created by employee
179,55,2026-04-27 07:37:51.779795,First Response,Open,In Progress,Support agent responded to ticket
180,55,2026-04-27 10:33:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
181,56,2026-02-27 19:51:27.779795,Created,,Open,Ticket created by employee
182,56,2026-02-27 21:19:39.779795,First Response,Open,In Progress,Support agent responded to ticket
183,56,2026-03-02 02:52:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
184,57,2026-02-23 07:47:27.779795,Created,,Open,Ticket created by employee
185,57,2026-02-23 08:25:51.779795,First Response,Open,In Progress,Support agent responded to ticket
186,57,2026-02-23 13:17:47.389089,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
187,57,2026-02-24 06:02:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
188,57,2026-02-24 23:15:40.822767,Closed,Resolved,Closed,Ticket closed after user confirmation
189,58,2024-07-17 03:50:27.779795,Created,,Open,Ticket created by employee
190,58,2024-07-17 05:55:15.779795,First Response,Open,In Progress,Support agent responded to ticket
191,58,2024-07-17 18:04:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
192,59,2024-07-02 07:16:27.779795,Created,,Open,Ticket created by employee
193,59,2024-07-02 10:32:03.779795,First Response,Open,In Progress,Support agent responded to ticket
194,59,2024-07-05 06:25:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
195,59,2024-07-07 01:44:42.164049,Closed,Resolved,Closed,Ticket closed after user confirmation
196,60,2026-03-12 21:20:27.779795,Created,,Open,Ticket created by employee
197,60,2026-03-13 03:39:39.779795,First Response,Open,In Progress,Support agent responded to ticket
198,60,2026-03-13 15:39:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
199,61,2026-02-26 12:39:27.779795,Created,,Open,Ticket created by employee
200,61,2026-02-26 13:01:39.779795,First Response,Open,In Progress,Support agent responded to ticket
201,61,2026-02-26 20:24:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
202,62,2025-06-25 20:56:27.779795,Created,,Open,Ticket created by employee
203,62,2025-06-25 22:18:39.779795,First Response,Open,In Progress,Support agent responded to ticket
204,62,2025-06-25 22:25:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
205,62,2025-06-27 04:53:23.742903,Closed,Resolved,Closed,Ticket closed after user confirmation
206,63,2024-12-26 03:07:27.779795,Created,,Open,Ticket created by employee
207,63,2024-12-26 04:48:51.779795,First Response,Open,In Progress,Support agent responded to ticket
208,63,2024-12-26 11:43:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
209,64,2026-02-11 20:56:27.779795,Created,,Open,Ticket created by employee
210,64,2026-02-11 21:29:27.779795,First Response,Open,In Progress,Support agent responded to ticket
211,64,2026-02-12 00:44:01.839607,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
212,64,2026-02-11 23:36:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
213,65,2025-08-22 23:52:27.779795,Created,,Open,Ticket created by employee
214,65,2025-08-23 03:56:39.779795,First Response,Open,In Progress,Support agent responded to ticket
215,65,2025-08-23 14:57:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
216,66,2026-01-29 21:13:27.779795,Created,,Open,Ticket created by employee
217,66,2026-01-29 21:57:15.779795,First Response,Open,In Progress,Support agent responded to ticket
218,66,2026-01-30 09:54:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
219,67,2024-08-22 00:10:27.779795,Created,,Open,Ticket created by employee
220,67,2024-08-22 04:09:15.779795,First Response,Open,In Progress,Support agent responded to ticket
221,67,2024-08-22 04:42:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
222,68,2026-03-17 03:08:27.779795,Created,,Open,Ticket created by employee
223,68,2026-03-17 03:18:39.779795,First Response,Open,In Progress,Support agent responded to ticket
224,68,2026-03-17 11:30:50.201291,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
225,68,2026-03-17 06:30:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
226,69,2026-02-03 08:45:27.779795,Created,,Open,Ticket created by employee
227,69,2026-02-03 09:17:15.779795,First Response,Open,In Progress,Support agent responded to ticket
228,69,2026-02-05 13:23:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
229,70,2025-10-30 10:33:27.779795,Created,,Open,Ticket created by employee
230,70,2025-10-30 13:16:03.779795,First Response,Open,In Progress,Support agent responded to ticket
231,70,2025-10-30 20:56:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
232,70,2025-10-30 23:18:16.195490,Closed,Resolved,Closed,Ticket closed after user confirmation
233,71,2025-11-29 09:08:27.779795,Created,,Open,Ticket created by employee
234,71,2025-11-29 10:37:51.779795,First Response,Open,In Progress,Support agent responded to ticket
235,72,2024-07-29 03:33:27.779795,Created,,Open,Ticket created by employee
236,72,2024-07-29 06:49:39.779795,First Response,Open,In Progress,Support agent responded to ticket
237,72,2024-07-29 22:58:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
238,72,2024-07-31 09:04:06.648050,Closed,Resolved,Closed,Ticket closed after user confirmation
239,73,2026-05-03 07:58:27.779795,Created,,Open,Ticket created by employee
240,73,2026-05-03 10:55:27.779795,First Response,Open,In Progress,Support agent responded to ticket
241,73,2026-05-03 12:56:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
242,74,2025-09-17 00:20:27.779795,Created,,Open,Ticket created by employee
243,74,2025-09-17 01:12:03.779795,First Response,Open,In Progress,Support agent responded to ticket
244,74,2025-09-17 08:01:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
245,74,2025-09-18 00:53:38.659541,Closed,Resolved,Closed,Ticket closed after user confirmation
246,75,2024-11-28 08:02:27.779795,Created,,Open,Ticket created by employee
247,75,2024-11-28 14:38:27.779795,First Response,Open,In Progress,Support agent responded to ticket
248,75,2024-11-29 11:39:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
249,76,2026-03-28 01:37:27.779795,Created,,Open,Ticket created by employee
250,76,2026-03-28 05:17:03.779795,First Response,Open,In Progress,Support agent responded to ticket
251,76,2026-03-28 14:08:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
252,77,2024-07-17 19:00:27.779795,Created,,Open,Ticket created by employee
253,77,2024-07-17 22:08:51.779795,First Response,Open,In Progress,Support agent responded to ticket
254,77,2024-07-18 06:02:08.799925,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
255,77,2024-07-18 06:08:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
256,78,2026-01-29 21:01:27.779795,Created,,Open,Ticket created by employee
257,78,2026-01-29 23:39:15.779795,First Response,Open,In Progress,Support agent responded to ticket
258,78,2026-01-30 02:04:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
259,79,2025-10-14 08:42:27.779795,Created,,Open,Ticket created by employee
260,79,2025-10-14 10:42:27.779795,First Response,Open,In Progress,Support agent responded to ticket
261,80,2024-12-10 19:26:27.779795,Created,,Open,Ticket created by employee
262,80,2024-12-10 20:40:15.779795,First Response,Open,In Progress,Support agent responded to ticket
263,80,2024-12-11 07:18:15.481087,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
264,81,2025-03-23 22:03:27.779795,Created,,Open,Ticket created by employee
265,81,2025-03-23 23:04:39.779795,First Response,Open,In Progress,Support agent responded to ticket
266,81,2025-03-24 07:22:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
267,81,2025-03-24 09:27:02.500735,Closed,Resolved,Closed,Ticket closed after user confirmation
268,82,2025-09-11 09:26:27.779795,Created,,Open,Ticket created by employee
269,82,2025-09-11 11:39:39.779795,First Response,Open,In Progress,Support agent responded to ticket
270,82,2025-09-12 03:43:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
271,83,2026-04-17 08:40:27.779795,Created,,Open,Ticket created by employee
272,83,2026-04-17 17:20:03.779795,First Response,Open,In Progress,Support agent responded to ticket
273,83,2026-04-18 03:01:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
274,84,2025-04-16 14:32:27.779795,Created,,Open,Ticket created by employee
275,84,2025-04-16 19:34:51.779795,First Response,Open,In Progress,Support agent responded to ticket
276,84,2025-04-17 01:50:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
277,85,2026-01-17 10:27:27.779795,Created,,Open,Ticket created by employee
278,85,2026-01-17 13:03:27.779795,First Response,Open,In Progress,Support agent responded to ticket
279,85,2026-01-17 17:20:52.576062,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
280,85,2026-01-18 02:59:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
281,86,2025-07-21 11:58:27.779795,Created,,Open,Ticket created by employee
282,86,2025-07-21 12:39:15.779795,First Response,Open,In Progress,Support agent responded to ticket
283,86,2025-07-21 23:06:11.569435,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
284,86,2025-07-22 20:00:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
285,87,2024-12-15 02:56:27.779795,Created,,Open,Ticket created by employee
286,87,2024-12-15 03:52:51.779795,First Response,Open,In Progress,Support agent responded to ticket
287,87,2024-12-15 06:11:55.800513,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
288,87,2024-12-15 12:35:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
289,88,2024-10-11 19:21:27.779795,Created,,Open,Ticket created by employee
290,88,2024-10-11 20:11:51.779795,First Response,Open,In Progress,Support agent responded to ticket
291,88,2024-10-12 19:16:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
292,89,2025-04-01 07:19:27.779795,Created,,Open,Ticket created by employee
293,89,2025-04-01 09:45:15.779795,First Response,Open,In Progress,Support agent responded to ticket
294,89,2025-04-03 15:36:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
295,90,2024-05-28 19:45:27.779795,Created,,Open,Ticket created by employee
296,90,2024-05-28 20:37:03.779795,First Response,Open,In Progress,Support agent responded to ticket
297,90,2024-05-28 22:19:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
298,91,2025-12-05 01:10:27.779795,Created,,Open,Ticket created by employee
299,91,2025-12-05 02:42:15.779795,First Response,Open,In Progress,Support agent responded to ticket
300,91,2025-12-05 11:14:37.760509,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
301,92,2024-10-14 22:56:27.779795,Created,,Open,Ticket created by employee
302,92,2024-10-15 01:24:03.779795,First Response,Open,In Progress,Support agent responded to ticket
303,92,2024-10-15 08:27:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
304,93,2024-11-03 04:57:27.779795,Created,,Open,Ticket created by employee
305,93,2024-11-03 08:14:15.779795,First Response,Open,In Progress,Support agent responded to ticket
306,93,2024-11-03 22:11:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
307,93,2024-11-05 10:50:25.548815,Closed,Resolved,Closed,Ticket closed after user confirmation
308,94,2026-01-08 02:08:27.779795,Created,,Open,Ticket created by employee
309,94,2026-01-08 07:56:27.779795,First Response,Open,In Progress,Support agent responded to ticket
310,95,2026-01-08 07:28:27.779795,Created,,Open,Ticket created by employee
311,95,2026-01-08 09:17:39.779795,First Response,Open,In Progress,Support agent responded to ticket
312,95,2026-01-08 15:59:53.859162,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
313,95,2026-01-08 18:27:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
314,96,2025-10-16 12:16:27.779795,Created,,Open,Ticket created by employee
315,96,2025-10-16 17:36:15.779795,First Response,Open,In Progress,Support agent responded to ticket
316,96,2025-10-17 14:31:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
317,97,2025-11-17 02:52:27.779795,Created,,Open,Ticket created by employee
318,97,2025-11-17 04:45:15.779795,First Response,Open,In Progress,Support agent responded to ticket
319,97,2025-11-17 06:27:22.852778,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
320,97,2025-11-21 21:44:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
321,98,2024-12-19 15:03:27.779795,Created,,Open,Ticket created by employee
322,98,2024-12-19 16:38:15.779795,First Response,Open,In Progress,Support agent responded to ticket
323,98,2024-12-22 06:20:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
324,99,2024-10-17 01:20:27.779795,Created,,Open,Ticket created by employee
325,99,2024-10-17 06:58:15.779795,First Response,Open,In Progress,Support agent responded to ticket
326,99,2024-10-17 11:57:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
327,100,2026-01-10 23:33:27.779795,Created,,Open,Ticket created by employee
328,100,2026-01-11 03:23:15.779795,First Response,Open,In Progress,Support agent responded to ticket
329,100,2026-01-11 12:45:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
330,101,2024-10-29 05:59:27.779795,Created,,Open,Ticket created by employee
331,101,2024-10-29 13:15:39.779795,First Response,Open,In Progress,Support agent responded to ticket
332,102,2024-08-20 12:54:27.779795,Created,,Open,Ticket created by employee
