ticket_id,employee_id,agent_id,team_id,system_id,sla_id,created_at,first_response_at,resolved_at,status,priority,category,subcategory,first_response_time_hours,resolution_time_hours,sla_breached,satisfaction_score,ticket_summary
17,129,2,1,4,3,2025-08-11 18:56:27.779795,2025-08-12 03:57:39.779795,2025-08-12 18:12:03.779795,Resolved,Medium,Software Access,License missing,9.02,23.26,False,5.0,License missing - software access reported by user
18,227,18,2,10,4,2026-04-09 00:54:27.779795,2026-04-09 07:26:15.779795,2026-04-14 20:35:15.779795,Resolved,Low,Printer Issue,Unable to print,6.53,139.68,True,4.0,Unable to print - printer issue reported by user
19,206,3,4,2,3,2025-04-14 13:24:27.779795,2025-04-14 14:46:03.779795,,In Progress,Medium,Printer Issue,Print queue stuck,1.36,,,,Print queue stuck - printer issue reported by user
20,212,4,2,9,3,2025-07-08 09:10:27.779795,2025-07-08 12:13:27.779795,,Open,Medium,Security Alert,Phishing email reported,3.05,,,,Phishing email reported - security alert reported by user
21,225,32,1,1,3,2026-02-20 07:06:27.779795,2026-02-20 14:45:27.779795,2026-02-20 17:20:51.779795,Resolved,Medium,Email Issue,Mailbox access issue,7.65,10.24,False,4.0,Mailbox access issue - email issue reported by user
22,61,10,4,5,4,2025-12-07 05:23:27.779795,2025-12-07 07:39:03.779795,2025-12-16 02:33:03.779795,Resolved,Low,VPN Issue,MFA failure,2.26,213.16,True,3.0,MFA failure - vpn issue reported by user
23,142,27,3,9,3,2025-12-05 20:42:27.779795,2025-12-05 20:49:03.779795,2025-12-06 16:49:39.779795,Resolved,Medium,Email Issue,Outlook not syncing,0.11,20.12,False,4.0,Outlook not syncing - email issue reported by user
24,283,35,4,8,3,2026-03-27 08:13:27.779795,2026-03-27 17:26:39.779795,2026-03-28 19:41:03.779795,Resolved,Medium,Software Access,Permission issue,9.22,35.46,True,4.0,Permission issue - software access reported by user
25,78,32,1,3,3,2025-07-14 17:38:27.779795,2025-07-14 20:02:27.779795,2025-07-17 11:36:03.779795,Closed,Medium,Account Lockout,Too many login attempts,2.4,65.96,True,4.0,Too many login attempts - account lockout reported by user
26,241,17,3,10,3,2025-11-10 06:18:27.779795,2025-11-10 08:56:15.779795,2025-11-12 23:13:03.779795,Closed,Medium,Email Issue,Outlook not syncing,2.63,64.91,True,5.0,Outlook not syncing - email issue reported by user
27,36,16,6,5,4,2025-06-14 02:58:27.779795,2025-06-14 19:56:03.779795,2025-06-15 01:21:15.779795,Closed,Low,Security Alert,Suspicious login,16.96,22.38,False,5.0,Suspicious login - security alert reported by user
28,29,19,3,6,4,2024-08-31 06:28:27.779795,2024-08-31 08:30:15.779795,2024-09-02 08:12:51.779795,Resolved,Low,Password Reset,Expired password,2.03,49.74,False,3.0,Expired password - password reset reported by user
29,299,10,2,8,3,2024-11-15 18:57:27.779795,2024-11-15 20:50:51.779795,,In Progress,Medium,WiFi/Network,WiFi disconnecting,1.89,,,,WiFi disconnecting - wifi/network reported by user
30,38,29,3,10,4,2026-04-02 17:15:27.779795,2026-04-03 00:57:27.779795,2026-04-04 06:19:39.779795,Closed,Low,Security Alert,Suspicious login,7.7,37.07,False,4.0,Suspicious login - security alert reported by user
31,152,2,6,7,3,2025-06-18 07:24:27.779795,2025-06-18 09:43:03.779795,2025-06-19 01:52:03.779795,Resolved,Medium,Application Error,ERP timeout,2.31,18.46,False,2.0,ERP timeout - application error reported by user
32,181,15,6,4,4,2026-01-31 15:49:27.779795,2026-01-31 21:16:27.779795,2026-02-02 17:08:39.779795,Closed,Low,WiFi/Network,No internet access,5.45,49.32,False,5.0,No internet access - wifi/network reported by user
33,297,24,6,3,1,2026-02-22 20:15:27.779795,2026-02-22 20:37:39.779795,2026-02-22 21:16:03.779795,Resolved,Critical,Printer Issue,Printer offline,0.37,1.01,False,3.0,Printer offline - printer issue reported by user
34,247,19,6,6,3,2025-11-24 03:51:27.779795,2025-11-24 05:47:15.779795,2025-11-24 22:25:39.779795,Resolved,Medium,Email Issue,Mailbox access issue,1.93,18.57,False,3.0,Mailbox access issue - email issue reported by user
35,47,26,1,5,4,2026-04-13 16:01:27.779795,2026-04-13 19:42:51.779795,,Open,Low,Security Alert,Phishing email reported,3.69,,,,Phishing email reported - security alert reported by user
36,120,31,1,10,3,2026-04-09 16:01:27.779795,2026-04-09 23:23:39.779795,2026-04-11 02:39:15.779795,Resolved,Medium,Software Access,Application access request,7.37,34.63,True,2.0,Application access request - software access reported by user
37,156,32,1,2,2,2025-09-08 14:37:27.779795,2025-09-08 15:44:39.779795,2025-09-08 18:17:39.779795,Resolved,High,Password Reset,Forgot password,1.12,3.67,False,5.0,Forgot password - password reset reported by user
38,51,32,5,7,3,2026-05-04 09:44:27.779795,2026-05-04 15:25:15.779795,2026-05-04 19:24:03.779795,Resolved,Medium,Account Lockout,AD account issue,5.68,9.66,False,4.0,AD account issue - account lockout reported by user
39,204,18,2,2,3,2025-01-17 03:24:27.779795,2025-01-17 12:21:27.779795,,Open,Medium,Software Access,Application access request,8.95,,,,Application access request - software access reported by user
40,171,16,2,10,3,2024-08-22 13:31:27.779795,2024-08-22 16:51:51.779795,2024-08-23 04:58:27.779795,Resolved,Medium,Password Reset,Forgot password,3.34,15.45,False,5.0,Forgot password - password reset reported by user
41,75,9,5,5,4,2025-01-14 03:07:27.779795,2025-01-14 04:05:39.779795,2025-01-17 22:06:15.779795,Resolved,Low,Password Reset,Expired password,0.97,90.98,True,4.0,Expired password - password reset reported by user
42,216,34,1,2,3,2025-01-19 10:38:27.779795,2025-01-19 13:46:15.779795,2025-01-19 16:03:03.779795,Resolved,Medium,Email Issue,Email delivery delay,3.13,5.41,False,4.0,Email delivery delay - email issue reported by user
43,235,2,1,8,4,2026-02-08 18:04:27.779795,2026-02-09 07:11:39.779795,2026-02-11 01:08:39.779795,Closed,Low,Security Alert,Phishing email reported,13.12,55.07,False,4.0,Phishing email reported - security alert reported by user
44,300,21,4,10,2,2024-08-11 02:56:27.779795,2024-08-11 03:54:03.779795,2024-08-11 04:36:03.779795,Resolved,High,Application Error,CRM login issue,0.96,1.66,False,5.0,CRM login issue - application error reported by user
45,232,15,4,6,3,2026-03-22 13:14:27.779795,2026-03-22 19:37:51.779795,2026-03-23 01:07:51.779795,Closed,Medium,WiFi/Network,WiFi disconnecting,6.39,11.89,False,4.0,WiFi disconnecting - wifi/network reported by user
46,48,28,1,6,3,2025-02-06 03:27:27.779795,2025-02-06 05:43:39.779795,2025-02-06 17:55:39.779795,Resolved,Medium,VPN Issue,VPN connection failed,2.27,14.47,False,4.0,VPN connection failed - vpn issue reported by user
47,27,19,5,5,4,2024-09-23 05:40:27.779795,2024-09-23 10:20:39.779795,,In Progress,Low,Account Lockout,AD account issue,4.67,,,,AD account issue - account lockout reported by user
48,189,8,3,10,4,2024-12-23 21:00:27.779795,2024-12-24 00:29:51.779795,2024-12-26 05:04:39.779795,Resolved,Low,Software Access,License missing,3.49,56.07,False,5.0,License missing - software access reported by user
49,93,18,6,5,4,2026-04-12 12:53:27.779795,2026-04-13 01:06:03.779795,2026-04-13 09:40:15.779795,Resolved,Low,Hardware,Laptop issue,12.21,20.78,False,5.0,Laptop issue - hardware reported by user
50,193,27,4,6,1,2024-07-30 21:05:27.779795,2024-07-30 21:28:15.779795,2024-07-31 00:52:51.779795,Resolved,Critical,Security Alert,Suspicious login,0.38,3.79,False,4.0,Suspicious login - security alert reported by user
51,227,28,4,10,1,2024-07-12 20:28:27.779795,2024-07-12 20:49:27.779795,2024-07-12 21:14:39.779795,Closed,Critical,VPN Issue,MFA failure,0.35,0.77,False,4.0,MFA failure - vpn issue reported by user
52,113,26,5,1,3,2025-03-07 14:01:27.779795,2025-03-07 15:18:15.779795,2025-03-07 18:25:27.779795,Resolved,Medium,Hardware,Laptop issue,1.28,4.4,False,4.0,Laptop issue - hardware reported by user
53,273,15,5,9,3,2025-04-20 19:18:27.779795,2025-04-21 04:08:51.779795,2025-04-21 17:12:27.779795,Resolved,Medium,Email Issue,Mailbox access issue,8.84,21.9,False,2.0,Mailbox access issue - email issue reported by user
54,208,27,3,2,3,2024-06-09 07:16:27.779795,2024-06-09 11:08:39.779795,2024-06-10 06:13:27.779795,Resolved,Medium,Account Lockout,AD account issue,3.87,22.95,False,4.0,AD account issue - account lockout reported by user
55,206,34,1,7,2,2026-04-27 03:23:27.779795,2026-04-27 07:37:51.779795,2026-04-27 10:33:39.779795,Resolved,High,Account Lockout,AD account issue,4.24,7.17,False,2.0,AD account issue - account lockout reported by user
56,76,16,1,3,4,2026-02-27 19:51:27.779795,2026-02-27 21:19:39.779795,2026-03-02 02:52:03.779795,Resolved,Low,Software Access,Permission issue,1.47,55.01,False,2.0,Permission issue - software access reported by user
57,290,21,6,6,4,2026-02-23 07:47:27.779795,2026-02-23 08:25:51.779795,2026-02-24 06:02:27.779795,Closed,Low,Printer Issue,Unable to print,0.64,22.25,False,4.0,Unable to print - printer issue reported by user
58,189,19,1,2,3,2024-07-17 03:50:27.779795,2024-07-17 05:55:15.779795,2024-07-17 18:04:15.779795,Resolved,Medium,Password Reset,Forgot password,2.08,14.23,False,5.0,Forgot password - password reset reported by user
59,244,33,2,1,3,2024-07-02 07:16:27.779795,2024-07-02 10:32:03.779795,2024-07-05 06:25:27.779795,Closed,Medium,Software Access,License missing,3.26,71.15,True,2.0,License missing - software access reported by user
60,268,11,3,6,3,2026-03-12 21:20:27.779795,2026-03-13 03:39:39.779795,2026-03-13 15:39:39.779795,Resolved,Medium,Printer Issue,Unable to print,6.32,18.32,False,2.0,Unable to print - printer issue reported by user
61,130,10,3,2,2,2026-02-26 12:39:27.779795,2026-02-26 13:01:39.779795,2026-02-26 20:24:27.779795,Resolved,High,Account Lockout,Too many login attempts,0.37,7.75,False,5.0,Too many login attempts - account lockout reported by user
62,169,9,6,9,2,2025-06-25 20:56:27.779795,2025-06-25 22:18:39.779795,2025-06-25 22:25:51.779795,Closed,High,Security Alert,Phishing email reported,1.37,1.49,False,4.0,Phishing email reported - security alert reported by user
63,40,19,1,9,2,2024-12-26 03:07:27.779795,2024-12-26 04:48:51.779795,2024-12-26 11:43:27.779795,Resolved,High,Email Issue,Outlook not syncing,1.69,8.6,True,4.0,Outlook not syncing - email issue reported by user
64,225,3,4,6,2,2026-02-11 20:56:27.779795,2026-02-11 21:29:27.779795,2026-02-11 23:36:39.779795,Resolved,High,Application Error,Application crash,0.55,2.67,False,5.0,Application crash - application error reported by user
65,189,29,4,5,4,2025-08-22 23:52:27.779795,2025-08-23 03:56:39.779795,2025-08-23 14:57:15.779795,Resolved,Low,Printer Issue,Printer offline,4.07,15.08,False,3.0,Printer offline - printer issue reported by user
66,53,34,1,5,3,2026-01-29 21:13:27.779795,2026-01-29 21:57:15.779795,2026-01-30 09:54:15.779795,Resolved,Medium,Software Access,License missing,0.73,12.68,False,5.0,License missing - software access reported by user
67,28,26,5,6,3,2024-08-22 00:10:27.779795,2024-08-22 04:09:15.779795,2024-08-22 04:42:51.779795,Resolved,Medium,Password Reset,Expired password,3.98,4.54,False,5.0,Expired password - password reset reported by user
68,72,31,4,10,1,2026-03-17 03:08:27.779795,2026-03-17 03:18:39.779795,2026-03-17 06:30:39.779795,Resolved,Critical,Printer Issue,Unable to print,0.17,3.37,False,4.0,Unable to print - printer issue reported by user
69,25,16,4,10,3,2026-02-03 08:45:27.779795,2026-02-03 09:17:15.779795,2026-02-05 13:23:51.779795,Resolved,Medium,Hardware,Laptop issue,0.53,52.64,True,1.0,Laptop issue - hardware reported by user
70,181,16,5,7,3,2025-10-30 10:33:27.779795,2025-10-30 13:16:03.779795,2025-10-30 20:56:51.779795,Closed,Medium,Password Reset,Password reset request,2.71,10.39,False,5.0,Password reset request - password reset reported by user
71,23,25,3,5,3,2025-11-29 09:08:27.779795,2025-11-29 10:37:51.779795,,Open,Medium,Account Lockout,Too many login attempts,1.49,,,,Too many login attempts - account lockout reported by user
72,171,9,1,6,3,2024-07-29 03:33:27.779795,2024-07-29 06:49:39.779795,2024-07-29 22:58:39.779795,Closed,Medium,Application Error,CRM login issue,3.27,19.42,False,4.0,CRM login issue - application error reported by user
73,151,13,1,4,2,2026-05-03 07:58:27.779795,2026-05-03 10:55:27.779795,2026-05-03 12:56:03.779795,Resolved,High,Printer Issue,Printer offline,2.95,4.96,False,5.0,Printer offline - printer issue reported by user
74,170,18,1,6,2,2025-09-17 00:20:27.779795,2025-09-17 01:12:03.779795,2025-09-17 08:01:51.779795,Closed,High,Software Access,Application access request,0.86,7.69,False,4.0,Application access request - software access reported by user
75,43,28,1,7,4,2024-11-28 08:02:27.779795,2024-11-28 14:38:27.779795,2024-11-29 11:39:03.779795,Resolved,Low,Security Alert,Phishing email reported,6.6,27.61,False,2.0,Phishing email reported - security alert reported by user
76,228,23,4,1,3,2026-03-28 01:37:27.779795,2026-03-28 05:17:03.779795,2026-03-28 14:08:03.779795,Resolved,Medium,Email Issue,Email delivery delay,3.66,12.51,False,5.0,Email delivery delay - email issue reported by user
77,74,29,1,3,3,2024-07-17 19:00:27.779795,2024-07-17 22:08:51.779795,2024-07-18 06:08:15.779795,Resolved,Medium,Email Issue,Outlook not syncing,3.14,11.13,False,4.0,Outlook not syncing - email issue reported by user
78,294,9,5,6,3,2026-01-29 21:01:27.779795,2026-01-29 23:39:15.779795,2026-01-30 02:04:27.779795,Resolved,Medium,Printer Issue,Printer offline,2.63,5.05,False,5.0,Printer offline - printer issue reported by user
79,229,14,5,5,2,2025-10-14 08:42:27.779795,2025-10-14 10:42:27.779795,,In Progress,High,Hardware,Docking station problem,2.0,,,,Docking station problem - hardware reported by user
80,164,23,6,2,3,2024-12-10 19:26:27.779795,2024-12-10 20:40:15.779795,,In Progress,Medium,Printer Issue,Printer offline,1.23,,,,Printer offline - printer issue reported by user
81,261,15,1,4,3,2025-03-23 22:03:27.779795,2025-03-23 23:04:39.779795,2025-03-24 07:22:03.779795,Closed,Medium,Email Issue,Mailbox access issue,1.02,9.31,False,4.0,Mailbox access issue - email issue reported by user
82,246,34,4,7,2,2025-09-11 09:26:27.779795,2025-09-11 11:39:39.779795,2025-09-12 03:43:15.779795,Resolved,High,Hardware,Monitor not working,2.22,18.28,True,4.0,Monitor not working - hardware reported by user
83,94,9,4,9,4,2026-04-17 08:40:27.779795,2026-04-17 17:20:03.779795,2026-04-18 03:01:27.779795,Resolved,Low,Security Alert,Endpoint alert,8.66,18.35,False,3.0,Endpoint alert - security alert reported by user
84,129,13,6,9,4,2025-04-16 14:32:27.779795,2025-04-16 19:34:51.779795,2025-04-17 01:50:27.779795,Resolved,Low,Hardware,Laptop issue,5.04,11.3,False,5.0,Laptop issue - hardware reported by user
85,289,3,1,2,3,2026-01-17 10:27:27.779795,2026-01-17 13:03:27.779795,2026-01-18 02:59:15.779795,Resolved,Medium,Application Error,ERP timeout,2.6,16.53,False,5.0,ERP timeout - application error reported by user
86,155,31,2,7,4,2025-07-21 11:58:27.779795,2025-07-21 12:39:15.779795,2025-07-22 20:00:15.779795,Resolved,Low,Security Alert,Phishing email reported,0.68,32.03,False,4.0,Phishing email reported - security alert reported by user
87,177,26,2,6,4,2024-12-15 02:56:27.779795,2024-12-15 03:52:51.779795,2024-12-15 12:35:27.779795,Resolved,Low,Software Access,License missing,0.94,9.65,False,4.0,License missing - software access reported by user
88,128,11,3,10,3,2024-10-11 19:21:27.779795,2024-10-11 20:11:51.779795,2024-10-12 19:16:03.779795,Resolved,Medium,Application Error,ERP timeout,0.84,23.91,False,4.0,ERP timeout - application error reported by user
89,111,23,1,1,3,2025-04-01 07:19:27.779795,2025-04-01 09:45:15.779795,2025-04-03 15:36:15.779795,Resolved,Medium,Printer Issue,Printer offline,2.43,56.28,True,4.0,Printer offline - printer issue reported by user
90,188,3,4,1,3,2024-05-28 19:45:27.779795,2024-05-28 20:37:03.779795,2024-05-28 22:19:03.779795,Resolved,Medium,Software Access,Permission issue,0.86,2.56,False,4.0,Permission issue - software access reported by user
91,50,26,3,6,3,2025-12-05 01:10:27.779795,2025-12-05 02:42:15.779795,,Open,Medium,VPN Issue,VPN connection failed,1.53,,,,VPN connection failed - vpn issue reported by user
92,71,22,4,9,3,2024-10-14 22:56:27.779795,2024-10-15 01:24:03.779795,2024-10-15 08:27:39.779795,Resolved,Medium,Password Reset,Forgot password,2.46,9.52,False,5.0,Forgot password - password reset reported by user
93,261,35,4,10,3,2024-11-03 04:57:27.779795,2024-11-03 08:14:15.779795,2024-11-03 22:11:51.779795,Closed,Medium,Software Access,License missing,3.28,17.24,False,5.0,License missing - software access reported by user
94,243,17,6,10,4,2026-01-08 02:08:27.779795,2026-01-08 07:56:27.779795,,In Progress,Low,Password Reset,Password reset request,5.8,,,,Password reset request - password reset reported by user
95,125,3,5,2,3,2026-01-08 07:28:27.779795,2026-01-08 09:17:39.779795,2026-01-08 18:27:15.779795,Resolved,Medium,Account Lockout,Account locked,1.82,10.98,False,3.0,Account locked - account lockout reported by user
96,71,34,2,9,4,2025-10-16 12:16:27.779795,2025-10-16 17:36:15.779795,2025-10-17 14:31:27.779795,Resolved,Low,Password Reset,Password reset request,5.33,26.25,False,3.0,Password reset request - password reset reported by user
97,248,13,2,5,4,2025-11-17 02:52:27.779795,2025-11-17 04:45:15.779795,2025-11-21 21:44:03.779795,Resolved,Low,Hardware,Docking station problem,1.88,114.86,True,4.0,Docking station problem - hardware reported by user
98,141,19,1,10,3,2024-12-19 15:03:27.779795,2024-12-19 16:38:15.779795,2024-12-22 06:20:15.779795,Resolved,Medium,Security Alert,Endpoint alert,1.58,63.28,True,5.0,Endpoint alert - security alert reported by user
99,132,31,2,4,3,2024-10-17 01:20:27.779795,2024-10-17 06:58:15.779795,2024-10-17 11:57:39.779795,Resolved,Medium,Software Access,Permission issue,5.63,10.62,False,3.0,Permission issue - software access reported by user
100,120,4,1,7,4,2026-01-10 23:33:27.779795,2026-01-11 03:23:15.779795,2026-01-11 12:45:27.779795,Resolved,Low,WiFi/Network,No internet access,3.83,13.2,False,5.0,No internet access - wifi/network reported by user
101,103,19,3,5,4,2024-10-29 05:59:27.779795,2024-10-29 13:15:39.779795,,In Progress,Low,Printer Issue,Unable to print,7.27,,,,Unable to print - printer issue reported by user
102,214,12,1,7,3,2024-08-20 12:54:27.779795,2024-08-20 13:44:15.779795,2024-08-21 09:56:51.779795,Resolved,Medium,Password Reset,Forgot password,0.83,21.04,False,4.0,Forgot password - password reset reported by user
103,233,35,5,8,2,2024-06-27 16:37:27.779795,2024-06-27 19:01:27.779795,2024-06-27 20:33:15.779795,Resolved,High,Software Access,Permission issue,2.4,3.93,False,5.0,Permission issue - software access reported by user
104,173,19,5,4,3,2025-04-23 22:04:27.779795,2025-04-24 01:30:51.779795,2025-04-26 13:46:27.779795,Resolved,Medium,Email Issue,Outlook not syncing,3.44,63.7,True,4.0,Outlook not syncing - email issue reported by user
105,128,1,3,7,4,2024-08-17 05:00:27.779795,2024-08-17 11:03:27.779795,2024-08-22 00:29:15.779795,Resolved,Low,Printer Issue,Print queue stuck,6.05,115.48,True,5.0,Print queue stuck - printer issue reported by user
106,158,11,4,9,2,2024-06-01 00:59:27.779795,2024-06-01 05:39:03.779795,2024-06-01 07:57:39.779795,Resolved,High,VPN Issue,MFA failure,4.66,6.97,False,5.0,MFA failure - vpn issue reported by user
107,233,24,4,9,4,2025-03-19 03:57:27.779795,2025-03-19 21:02:51.779795,2025-03-27 02:50:51.779795,Resolved,Low,Printer Issue,Printer offline,17.09,190.89,True,5.0,Printer offline - printer issue reported by user
108,186,5,5,2,3,2026-04-17 12:13:27.779795,2026-04-17 14:27:51.779795,2026-04-18 02:55:27.779795,Closed,Medium,Security Alert,Endpoint alert,2.24,14.7,False,3.0,Endpoint alert - security alert reported by user
109,47,33,4,1,2,2025-04-21 08:46:27.779795,2025-04-21 09:51:15.779795,2025-04-21 10:15:15.779795,Resolved,High,Application Error,ERP timeout,1.08,1.48,False,4.0,ERP timeout - application error reported by user
110,38,3,4,6,4,2025-04-01 15:19:27.779795,2025-04-01 19:42:15.779795,2025-04-04 08:10:27.779795,Resolved,Low,WiFi/Network,No internet access,4.38,64.85,False,5.0,No internet access - wifi/network reported by user
111,196,29,4,7,4,2025-09-15 17:36:27.779795,2025-09-16 01:19:39.779795,2025-09-19 12:45:27.779795,Resolved,Low,Account Lockout,Too many login attempts,7.72,91.15,True,5.0,Too many login attempts - account lockout reported by user
112,12,20,4,9,2,2024-09-18 21:52:27.779795,2024-09-18 22:41:39.779795,2024-09-19 02:00:15.779795,Resolved,High,WiFi/Network,Slow network,0.82,4.13,False,3.0,Slow network - wifi/network reported by user
113,9,16,2,2,4,2024-11-30 16:06:27.779795,2024-11-30 16:28:39.779795,2024-12-02 18:51:27.779795,Resolved,Low,Account Lockout,AD account issue,0.37,50.75,False,2.0,AD account issue - account lockout reported by user
114,258,19,2,10,2,2024-07-05 04:46:27.779795,2024-07-05 06:00:51.779795,2024-07-05 08:11:03.779795,Resolved,High,Password Reset,Forgot password,1.24,3.41,False,4.0,Forgot password - password reset reported by user
115,90,28,5,8,3,2024-10-14 13:51:27.779795,2024-10-14 15:17:51.779795,2024-10-14 23:53:51.779795,Resolved,Medium,Password Reset,Password reset request,1.44,10.04,False,4.0,Password reset request - password reset reported by user
116,124,15,3,3,3,2026-05-04 05:44:27.779795,2026-05-04 09:24:39.779795,2026-05-05 05:05:27.779795,Resolved,Medium,Security Alert,Phishing email reported,3.67,23.35,False,4.0,Phishing email reported - security alert reported by user
117,190,6,5,4,3,2024-10-05 04:33:27.779795,2024-10-05 06:07:39.779795,2024-10-05 07:01:03.779795,Resolved,Medium,VPN Issue,MFA failure,1.57,2.46,False,2.0,MFA failure - vpn issue reported by user
118,8,14,2,2,3,2026-01-12 16:00:27.779795,2026-01-12 19:02:51.779795,2026-01-15 01:23:51.779795,Resolved,Medium,Software Access,Permission issue,3.04,57.39,True,5.0,Permission issue - software access reported by user
119,184,20,3,6,3,2025-06-30 23:53:27.779795,2025-07-01 01:55:51.779795,2025-07-01 23:28:51.779795,Resolved,Medium,Printer Issue,Unable to print,2.04,23.59,False,4.0,Unable to print - printer issue reported by user
120,75,2,3,9,1,2025-04-12 22:41:27.779795,2025-04-13 00:33:39.779795,2025-04-13 00:52:51.779795,Resolved,Critical,WiFi/Network,No internet access,1.87,2.19,False,4.0,No internet access - wifi/network reported by user
121,251,32,4,3,3,2025-06-13 11:11:27.779795,2025-06-13 12:39:39.779795,2025-06-14 00:58:15.779795,Resolved,Medium,Software Access,Permission issue,1.47,13.78,False,3.0,Permission issue - software access reported by user
122,25,1,4,3,4,2025-11-27 12:21:27.779795,2025-11-27 23:08:15.779795,2025-11-27 23:41:51.779795,Resolved,Low,VPN Issue,VPN disconnecting,10.78,11.34,False,4.0,VPN disconnecting - vpn issue reported by user
123,250,2,1,9,4,2025-06-06 17:57:27.779795,2025-06-06 18:08:51.779795,2025-06-07 13:52:39.779795,Resolved,Low,Printer Issue,Unable to print,0.19,19.92,False,5.0,Unable to print - printer issue reported by user
124,50,34,2,4,3,2024-06-07 09:10:27.779795,2024-06-07 11:19:27.779795,2024-06-08 22:00:15.779795,Resolved,Medium,Email Issue,Outlook not syncing,2.15,36.83,True,4.0,Outlook not syncing - email issue reported by user
125,42,3,1,7,4,2025-06-07 04:47:27.779795,2025-06-07 09:15:39.779795,2025-06-07 09:54:03.779795,Resolved,Low,WiFi/Network,WiFi disconnecting,4.47,5.11,False,3.0,WiFi disconnecting - wifi/network reported by user
126,22,15,2,10,3,2025-10-14 05:59:27.779795,2025-10-14 06:16:15.779795,2025-10-15 04:13:15.779795,Closed,Medium,VPN Issue,VPN disconnecting,0.28,22.23,False,5.0,VPN disconnecting - vpn issue reported by user
127,74,26,1,5,4,2025-12-19 13:20:27.779795,2025-12-19 15:20:27.779795,2025-12-24 21:22:51.779795,Resolved,Low,Password Reset,Forgot password,2.0,128.04,True,5.0,Forgot password - password reset reported by user
128,178,4,1,7,4,2025-04-25 05:06:27.779795,2025-04-25 05:48:27.779795,2025-04-27 01:34:39.779795,Closed,Low,VPN Issue,VPN disconnecting,0.7,44.47,False,4.0,VPN disconnecting - vpn issue reported by user
